study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
single,3,2026092203,1,15,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4472249169994029,6.116739083000539,6.565691875000084,60,20736,343416,
single,4,2026092204,1,0,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.44921741699999984,6.530839499999274,6.981776333000198,60,20736,343416,
single,4,2026092204,1,1,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4648146669997004,6.145015375000185,6.6115945829997145,60,20736,343416,
single,4,2026092204,1,2,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.47004241600006935,5.332266375000472,5.8040580830002,60,20736,343416,
single,4,2026092204,1,3,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.45132904199999757,5.861702041999706,6.314745167000183,60,20736,343416,
single,4,2026092204,1,4,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.46457195800030604,6.461346042000514,6.927702291999594,60,20736,343416,
single,4,2026092204,1,5,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.44903954100027477,5.969585833000565,6.420454583999344,60,20736,343416,
single,4,2026092204,1,6,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4510497500004931,5.199807332999626,5.652583624999352,60,20736,343416,
single,4,2026092204,1,7,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4506279999995968,6.177171291999912,6.629515790999903,60,20736,343416,
single,4,2026092204,1,8,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4502427079996778,4.2893520419993365,4.741484833000868,60,20736,343416,
single,4,2026092204,1,9,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.45300837500053603,5.525563000000147,5.980303082999853,60,20736,343416,
single,4,2026092204,1,10,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.45010991699928127,4.8159063749999405,5.267755500000021,60,20736,343416,
single,4,2026092204,1,11,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4617307919997984,5.551893459000894,6.015366040999652,60,20736,343416,
single,4,2026092204,1,12,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4512722500003292,4.590044916999432,5.043084750000162,60,20736,343416,
single,4,2026092204,1,13,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4663857499999722,5.083299750000151,5.551496875000339,60,20736,343416,
single,4,2026092204,1,14,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4547402919997694,5.247598124999968,5.704068290999203,60,20736,343416,
single,4,2026092204,1,15,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.44912304199988284,4.653377458999785,5.104270583999096,60,20736,343416,
single,5,2026092205,1,0,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4670349999996688,4.88178599999992,5.3505817920013214,60,20736,343416,
