Bity,Wzorzec,Czas_s,Status,Solver
12,last,0.0072,OK,Kissat404
12,every_2nd,5.2107,OK,Kissat404
12,every_4th,5.6282,OK,Kissat404
12,random,8.8359,OK,Kissat404
16,first,62.2136,OK,Kissat404
16,last,92.3038,OK,Kissat404
16,every_2nd,102.2384,OK,Kissat404
16,every_4th,47.6826,OK,Kissat404
16,random,27.5456,OK,Kissat404
17,first,83.5060,OK,Kissat404
17,last,11.0834,OK,Kissat404
4,first,0.0128,OK,Kissat404
4,last,0.0080,OK,Kissat404
4,first,0.0145,OK,Kissat404
4,last,0.0091,OK,Kissat404
4,every_2nd,0.3636,OK,Kissat404
4,every_4th,0.3608,OK,Kissat404
4,random,0.2714,OK,Kissat404
8,first,1.1439,OK,Kissat404
8,last,0.0084,OK,Kissat404
8,every_2nd,0.8189,OK,Kissat404
8,every_4th,0.6808,OK,Kissat404
8,random,0.7846,OK,Kissat404
