byte_a,byte_b,cases,sat,timeouts,errors,correct,candidate_valid,mean,median,min,max,stdev
9,11,5,5,0,0,5,5,55.866123592000804,55.10773291700025,20.46237595900311,109.15130533400225,33.25256620776476
9,12,5,5,0,0,5,5,54.718147666798174,50.52441424999779,37.05272433399659,94.68529412499629,23.378750765296633
9,13,5,5,0,0,5,5,57.185955975000255,57.28485929100134,26.530727334000403,86.68396204199962,22.104360011340486
9,14,5,5,0,0,5,5,45.002072325001066,26.762416292003763,14.62896470800115,110.38092887499806,38.4622412017481
9,15,5,5,0,0,5,5,44.660940058201234,51.12521508300415,17.552600000002712,58.313436291999096,16.3836015839195
10,11,5,5,0,0,5,5,47.951739716597515,41.90906220799661,9.049572541996895,81.92940966699825,27.88786840269241
10,12,5,5,0,0,5,5,60.908634908400565,67.97731258400017,32.10760716700315,88.78273166600047,24.606540098633484
10,13,5,5,0,0,5,5,55.20439120020019,57.503841375000775,14.670918750001874,94.88257412499661,28.622823102038826
10,14,5,5,0,0,5,5,65.92328266680197,63.62046654200094,28.94481720800104,102.30664904200239,28.586044281931954
10,15,5,5,0,0,5,5,60.24962462520125,70.57214341700455,35.83915012500074,80.10692966699935,21.551910507903134
11,12,5,5,0,0,5,5,55.86838636659813,67.05779187499866,13.593883707995701,101.89409687499938,36.16970163370789
11,13,5,5,0,0,5,5,57.25386456680062,45.93208545899688,26.51330812499873,90.03010000000359,28.38077918709873
11,14,5,5,0,0,5,5,58.244125166800224,49.441288292000536,19.099675541998295,105.98956662500132,31.847847604626157
11,15,5,5,0,0,5,5,25.266183799801365,23.721419000001333,16.0377507910016,33.27605487500114,7.7425473140801735
12,13,5,5,0,0,5,5,50.563303875000564,12.109852833000332,6.075850499997614,114.52314462499999,56.24217201429902
12,14,5,4,1,0,4,4,51.579515083498336,42.68601983349981,26.560712957998476,94.38530770899524,29.98639574053193
12,15,5,5,0,0,5,5,65.76404833359774,66.86244758399698,41.798120916995686,79.11389374999999,14.746806432569088
13,14,5,5,0,0,5,5,52.09738132520069,35.21689524999965,21.056144209003833,93.82967479199942,34.334403184333496
13,15,5,5,0,0,5,5,79.37581815799786,69.73800745799963,60.402572040999075,113.42774974999338,22.910046548897732
14,15,5,4,1,0,4,4,46.60232706249917,47.56348070849708,15.489060750001954,75.79328608300057,25.178296977062036
